Job Title,Category,Education Requirement,Experience Years,Required Skills,Salary Range,Job Title Clean,Required Skills Clean
Art Director,Creative & Design,Bachelor's in Art|Bachelor's in Design,3,Artistic Direction|Visual Communication|Team Leadership|Design Principles|Communication|Creativity,70-130K,art director,"['artistic direction', 'visual communication', 'team leadership', 'design principles', 'communication', 'creativity']"
Photographer,Creative & Design,Associate in Photography|Portfolio,0,Photography|Editing Software|Lighting|Composition|Client Service|Creativity,40-90K,photographer,"['photography', 'editing software', 'lighting', 'composition', 'client service', 'creativity']"
Copywriter,Creative & Design,Bachelor's in English|Bachelor's in Marketing,1,Writing|Creativity|SEO Knowledge|Marketing|Brand Voice|Research,50-95K,copywriter,"['writing', 'creativity', 'seo knowledge', 'marketing', 'brand voice', 'research']"
Journalist,Entertainment & Media,Bachelor's in Journalism|Bachelor's in Communications,1,Writing|Reporting|Research|Communication|Ethics|Source Development,45-80K,journalist,"['writing', 'reporting', 'research', 'communication', 'ethics', 'source development']"
Producer,Entertainment & Media,Bachelor's in Production|Bachelor's in Communications,2,Production Management|Leadership|Technical Knowledge|Problem Solving|Communication|Creativity,60-120K,producer,"['production management', 'leadership', 'technical knowledge', 'problem solving', 'communication', 'creativity']"
Director,Private Sector Management,Bachelor's in Business|Master's in Business,5,Strategic Planning|Leadership|Department Management|Budget Control|Decision Making|Communication,100-180K,director,"['strategic planning', 'leadership', 'department management', 'budget control', 'decision making', 'communication']"
Writer,Entertainment & Media,Bachelor's in Creative Writing|Bachelor's in Literature,0,Writing|Storytelling|Research|Creativity|Communication|Attention to Detail,40-80K,writer,"['writing', 'storytelling', 'research', 'creativity', 'communication', 'attention to detail']"
Editor,Entertainment & Media,Bachelor's in English|Bachelor's in Journalism,2,Content Editing|Writing|Organization|Attention to Detail|Communication|Management,55-100K,editor,"['content editing', 'writing', 'organization', 'attention to detail', 'communication', 'management']"
Sound Engineer,Entertainment & Media,Associate in Audio Engineering|Certification,1,Audio Engineering|Sound Design|Technical Skills|Equipment Knowledge|Problem Solving|Precision,50-100K,sound engineer,"['audio engineering', 'sound design', 'technical skills', 'equipment knowledge', 'problem solving', 'precision']"
Broadcast Technician,Entertainment & Media,Associate in Broadcast Technology,1,Broadcasting|Equipment Operation|Technical Knowledge|Troubleshooting|Safety|Attention to Detail,45-85K,broadcast technician,"['broadcasting', 'equipment operation', 'technical knowledge', 'troubleshooting', 'safety', 'attention to detail']"
Lawyer,Legal Services,Juris Doctor|Bar License,1,Legal Knowledge|Research|Writing|Negotiation|Communication|Ethics,80-200K,lawyer,"['legal knowledge', 'research', 'writing', 'negotiation', 'communication', 'ethics']"
Paralegal,Legal Services,Bachelor's in Paralegal Studies|Associate in Law,1,Legal Research|Document Preparation|Organization|Communication|Attention to Detail|Legal Knowledge,50-90K,paralegal,"['legal research', 'document preparation', 'organization', 'communication', 'attention to detail', 'legal knowledge']"
Legal Secretary,Legal Services,High School|Legal Secretary Certification,0,Legal Knowledge|Administrative Skills|Organization|Communication|Typing|Attention to Detail,40-70K,legal secretary,"['legal knowledge', 'administrative skills', 'organization', 'communication', 'typing', 'attention to detail']"
Law Clerk,Legal Services,Juris Doctor|Law School Graduate,0,Legal Research|Writing|Analysis|Attention to Detail|Communication|Problem Solving,50-85K,law clerk,"['legal research', 'writing', 'analysis', 'attention to detail', 'communication', 'problem solving']"
Judge,Legal Services,Juris Doctor|Bar License|Judicial Appointment,10,Legal Expertise|Decision Making|Ethics|Fairness|Communication|Leadership,150-250K,judge,"['legal expertise', 'decision making', 'ethics', 'fairness', 'communication', 'leadership']"
Corporate Lawyer,Legal Services,Juris Doctor|Bar License|Corporate Law Specialization,3,Corporate Law|Contract Negotiation|Research|Writing|Strategic Thinking|Communication,120-300K,corporate lawyer,"['corporate law', 'contract negotiation', 'research', 'writing', 'strategic thinking', 'communication']"
Patent Attorney,Legal Services,Juris Doctor|Patent Bar License,3,Patent Law|Technical Knowledge|Research|Writing|Communication|Legal Expertise,130-280K,patent attorney,"['patent law', 'technical knowledge', 'research', 'writing', 'communication', 'legal expertise']"
Tax Attorney,Legal Services,Juris Doctor|Bar License|Tax Law Specialization,3,Tax Law|Legal Research|Planning|Writing|Communication|Analytical Skills,110-250K,tax attorney,"['tax law', 'legal research', 'planning', 'writing', 'communication', 'analytical skills']"
Management Consultant,Consulting,Master's in Business|MBA,2,Business Analysis|Problem Solving|Communication|Research|Strategic Thinking|Project Management,90-180K,management consultant,"['business analysis', 'problem solving', 'communication', 'research', 'strategic thinking', 'project management']"
Strategy Consultant,Consulting,MBA|Master's in Strategy,3,Strategic Thinking|Analysis|Communication|Market Knowledge|Problem Solving|Leadership,100-200K,strategy consultant,"['strategic thinking', 'analysis', 'communication', 'market knowledge', 'problem solving', 'leadership']"
Business Consultant,Consulting,Bachelor's in Business|MBA,2,Business Analysis|Process Improvement|Communication|Problem Solving|Data Analysis|Project Management,80-150K,business consultant,"['business analysis', 'process improvement', 'communication', 'problem solving', 'data analysis', 'project management']"
IT Consultant,Consulting,Bachelor's in Computer Science|IT Certification,3,IT Knowledge|Problem Solving|Communication|System Design|Project Management|Technical Expertise,90-160K,it consultant,"['it knowledge', 'problem solving', 'communication', 'system design', 'project management', 'technical expertise']"
HR Consultant,Consulting,Bachelor's in HR|Master's in Business,3,HR Expertise|Organizational Development|Communication|Problem Solving|Strategic Thinking|Analysis,85-155K,hr consultant,"['hr expertise', 'organizational development', 'communication', 'problem solving', 'strategic thinking', 'analysis']"
Customer Service Representative,Sales & Customer Service,High School|Customer Service Certification,0,Customer Service|Communication|Problem Solving|Patience|Product Knowledge|Attention to Detail,30-55K,customer service representative,"['customer service', 'communication', 'problem solving', 'patience', 'product knowledge', 'attention to detail']"
Customer Success Manager,Sales & Customer Service,Bachelor's in Business|Customer Success Certification,2,Customer Relations|Account Management|Problem Solving|Communication|Product Knowledge|Analytics,60-110K,customer success manager,"['customer relations', 'account management', 'problem solving', 'communication', 'product knowledge', 'analytics']"
Call Center Manager,Sales & Customer Service,High School|Management Experience,2,Team Management|Customer Service|Leadership|Performance Metrics|Problem Solving|Communication,50-90K,call center manager,"['team management', 'customer service', 'leadership', 'performance metrics', 'problem solving', 'communication']"
Technical Support Specialist,Sales & Customer Service,High School|IT Certification,1,Technical Knowledge|Troubleshooting|Communication|Customer Service|Problem Solving|Patience,40-75K,technical support specialist,"['technical knowledge', 'troubleshooting', 'communication', 'customer service', 'problem solving', 'patience']"
Research Scientist,Research & Development,Master's in Science|PhD,2,Research|Scientific Knowledge|Experimentation|Data Analysis|Writing|Problem Solving,80-150K,research scientist,"['research', 'scientific knowledge', 'experimentation', 'data analysis', 'writing', 'problem solving']"
Product Researcher,Research & Development,Bachelor's in Science|Master's in Research,2,Research Methodology|Data Analysis|User Research|Report Writing|Problem Solving|Communication,70-130K,product researcher,"['research methodology', 'data analysis', 'user research', 'report writing', 'problem solving', 'communication']"
Laboratory Manager,Research & Development,Master's in Science|Bachelor's in Laboratory Science,3,Laboratory Management|Scientific Knowledge|Leadership|Safety|Equipment Maintenance|Quality Control,75-130K,laboratory manager,"['laboratory management', 'scientific knowledge', 'leadership', 'safety', 'equipment maintenance', 'quality control']"
Administrative Assistant,Administration,High School|Administrative Certification,0,Administrative Skills|Organization|Communication|Time Management|Typing|Software Skills,35-60K,administrative assistant,"['administrative skills', 'organization', 'communication', 'time management', 'typing', 'software skills']"
Executive Assistant,Administration,Bachelor's in Business|Administrative Certification,2,Executive Support|Organization|Communication|Discretion|Problem Solving|Leadership Support,55-95K,executive assistant,"['executive support', 'organization', 'communication', 'discretion', 'problem solving', 'leadership support']"
Office Manager,Administration,High School|Leadership Experience,2,Office Management|Leadership|Organization|Communication|Problem Solving|Administrative Skills,50-85K,office manager,"['office management', 'leadership', 'organization', 'communication', 'problem solving', 'administrative skills']"
Receptionist,Administration,High School,0,Customer Service|Communication|Organization|Phone Skills|Computer Skills|Friendliness,30-55K,receptionist,"['customer service', 'communication', 'organization', 'phone skills', 'computer skills', 'friendliness']"
Chief Executive Officer,Private Sector Management,MBA|Master's in Business,10,Strategic Leadership|Vision|Decision Making|Business Acumen|Communication|Executive Management,200-500K,chief executive officer,"['strategic leadership', 'vision', 'decision making', 'business acumen', 'communication', 'executive management']"
COO,Private Sector Management,MBA|Master's in Business,10,Operations Management|Strategic Thinking|Leadership|Business Operations|Decision Making|Communication,180-400K,coo,"['operations management', 'strategic thinking', 'leadership', 'business operations', 'decision making', 'communication']"
Vice President,Private Sector Management,Master's in Business|MBA,7,Strategic Leadership|Department Management|Business Development|Decision Making|Communication|Vision,140-300K,vice president,"['strategic leadership', 'department management', 'business development', 'decision making', 'communication', 'vision']"
General Manager,Private Sector Management,Bachelor's in Business|Master's in Business,5,Business Management|Leadership|P&L Responsibility|Strategic Planning|Decision Making|Communication,90-170K,general manager,"['business management', 'leadership', 'p&l responsibility', 'strategic planning', 'decision making', 'communication']"
Government Analyst,Government & Public Service,Bachelor's in Political Science|Bachelor's in Public Administration,1,Policy Analysis|Research|Writing|Data Analysis|Government Knowledge|Communication,55-95K,government analyst,"['policy analysis', 'research', 'writing', 'data analysis', 'government knowledge', 'communication']"
Public Administrator,Government & Public Service,Master's in Public Administration|MPA,2,Public Administration|Leadership|Policy Knowledge|Budget Management|Strategic Planning|Communication,65-120K,public administrator,"['public administration', 'leadership', 'policy knowledge', 'budget management', 'strategic planning', 'communication']"
Policy Advisor,Government & Public Service,Master's in Public Policy|Master's in Relevant Field,3,Policy Expertise|Analysis|Writing|Research|Strategic Thinking|Communication,75-140K,policy advisor,"['policy expertise', 'analysis', 'writing', 'research', 'strategic thinking', 'communication']"
Electrical Utilities Manager,Energy & Utilities,Bachelor's in Electrical Engineering|Engineering License,3,Electrical Systems|Management|Safety|Regulatory Knowledge|Problem Solving|Leadership,85-145K,electrical utilities manager,"['electrical systems', 'management', 'safety', 'regulatory knowledge', 'problem solving', 'leadership']"
Water Treatment Operator,Energy & Utilities,Certificate in Water Treatment|High School,1,Water Treatment|Equipment Operation|Safety|Testing|Compliance|Maintenance,50-85K,water treatment operator,"['water treatment', 'equipment operation', 'safety', 'testing', 'compliance', 'maintenance']"
Safety Engineer,Energy & Utilities,Bachelor's in Safety Engineering|Safety Certification,2,Safety Management|Risk Assessment|Regulatory Knowledge|Problem Solving|Communication|Leadership,70-130K,safety engineer,"['safety management', 'risk assessment', 'regulatory knowledge', 'problem solving', 'communication', 'leadership']"
Agricultural Engineer,Agriculture & Food,Bachelor's in Agricultural Engineering,2,Agricultural Systems|Equipment Design|Problem Solving|Technical Knowledge|Sustainability|Analysis,60-115K,agricultural engineer,"['agricultural systems', 'equipment design', 'problem solving', 'technical knowledge', 'sustainability', 'analysis']"
Food Scientist,Agriculture & Food,Bachelor's in Food Science|Master's in Food Science,2,Food Science|Research|Testing|Quality Control|Problem Solving|Technical Knowledge,65-125K,food scientist,"['food science', 'research', 'testing', 'quality control', 'problem solving', 'technical knowledge']"
Nutritionist,Agriculture & Food,Bachelor's in Nutrition|Nutritionist Certification,1,Nutrition Science|Meal Planning|Client Communication|Research|Health Knowledge|Counseling,55-100K,nutritionist,"['nutrition science', 'meal planning', 'client communication', 'research', 'health knowledge', 'counseling']"
Chef,Agriculture & Food,Culinary School|Culinary Certification,1,Cooking|Recipe Development|Kitchen Management|Creativity|Food Safety|Time Management,50-100K,chef,"['cooking', 'recipe development', 'kitchen management', 'creativity', 'food safety', 'time management']"
Restaurant Manager,Agriculture & Food,High School|Management Experience,2,Restaurant Management|Leadership|Customer Service|Financial Management|Staff Management|Communication,50-90K,restaurant manager,"['restaurant management', 'leadership', 'customer service', 'financial management', 'staff management', 'communication']"
Hotel Manager,Hospitality & Tourism,Bachelor's in Hospitality Management,3,Hotel Management|Leadership|Customer Service|Budget Control|Staff Management|Communication,60-110K,hotel manager,"['hotel management', 'leadership', 'customer service', 'budget control', 'staff management', 'communication']"
Event Coordinator,Hospitality & Tourism,Associate in Event Planning|Certification,1,Event Planning|Organization|Communication|Problem Solving|Vendor Management|Budget Management,45-85K,event coordinator,"['event planning', 'organization', 'communication', 'problem solving', 'vendor management', 'budget management']"
Travel Agent,Hospitality & Tourism,High School|Travel Industry Certification,0,Travel Knowledge|Customer Service|Sales|Computer Skills|Organization|Communication,35-70K,travel agent,"['travel knowledge', 'customer service', 'sales', 'computer skills', 'organization', 'communication']"
Tour Guide,Hospitality & Tourism,High School|Language Skills,0,Communication|Regional Knowledge|Customer Service|Cultural Sensitivity|Problem Solving|Enthusiasm,30-60K,tour guide,"['communication', 'regional knowledge', 'customer service', 'cultural sensitivity', 'problem solving', 'enthusiasm']"
Sports Manager,Sports & Recreation,Bachelor's in Sports Management,2,Sports Management|Leadership|Marketing|Financial Management|Problem Solving|Communication,60-120K,sports manager,"['sports management', 'leadership', 'marketing', 'financial management', 'problem solving', 'communication']"
Coach,Sports & Recreation,Bachelor's in Physical Education|Coaching Certification,1,Athletic Knowledge|Coaching|Leadership|Communication|Motivation|Training Program Design,40-90K,coach,"['athletic knowledge', 'coaching', 'leadership', 'communication', 'motivation', 'training program design']"
Personal Trainer,Sports & Recreation,Personal Training Certification|High School,0,Fitness Knowledge|Training Program Design|Motivation|Communication|Anatomy|Problem Solving,35-80K,personal trainer,"['fitness knowledge', 'training program design', 'motivation', 'communication', 'anatomy', 'problem solving']"
Fitness Manager,Sports & Recreation,Associate in Fitness Management|High School,2,Fitness Industry Knowledge|Management|Customer Service|Sales|Leadership|Communication,50-90K,fitness manager,"['fitness industry knowledge', 'management', 'customer service', 'sales', 'leadership', 'communication']"
Truck Driver,Transportation & Logistics,High School|Commercial Driver's License,0,Driving|Safety|Route Planning|Vehicle Maintenance|Time Management|Responsibility,40-70K,truck driver,"['driving', 'safety', 'route planning', 'vehicle maintenance', 'time management', 'responsibility']"
Delivery Driver,Transportation & Logistics,High School|Driver's License,0,Driving|Customer Service|Organization|Time Management|Safety|Communication,35-65K,delivery driver,"['driving', 'customer service', 'organization', 'time management', 'safety', 'communication']"
Fleet Manager,Transportation & Logistics,High School|Management Experience,3,Fleet Management|Maintenance|Safety|Cost Management|Leadership|Problem Solving,60-110K,fleet manager,"['fleet management', 'maintenance', 'safety', 'cost management', 'leadership', 'problem solving']"
Pilot,Transportation & Logistics,Commercial Pilot License|Training,2,Flying|Navigation|Safety|Technical Knowledge|Decision Making|Responsibility,100-200K,pilot,"['flying', 'navigation', 'safety', 'technical knowledge', 'decision making', 'responsibility']"
Social Worker,Human Services & Social Work,Master's in Social Work|MSW License,1,Case Management|Counseling|Problem Solving|Communication|Empathy|Crisis Intervention,45-85K,social worker,"['case management', 'counseling', 'problem solving', 'communication', 'empathy', 'crisis intervention']"
Counselor,Human Services & Social Work,Master's in Counseling|Licensing Credentials,1,Counseling|Active Listening|Problem Solving|Empathy|Communication|Treatment Planning,50-95K,counselor,"['counseling', 'active listening', 'problem solving', 'empathy', 'communication', 'treatment planning']"
Community Outreach Coordinator,Human Services & Social Work,Bachelor's in Social Work|Bachelor's in Communications,1,Community Engagement|Program Management|Communication|Organization|Problem Solving|Cultural Sensitivity,45-80K,community outreach coordinator,"['community engagement', 'program management', 'communication', 'organization', 'problem solving', 'cultural sensitivity']"
Grant Writer,Non-profit & Charity,Bachelor's in Writing|Grant Writing Certification,1,Grant Writing|Research|Communication|Organization|Problem Solving|Fundraising Knowledge,50-90K,grant writer,"['grant writing', 'research', 'communication', 'organization', 'problem solving', 'fundraising knowledge']"
Non-profit Director,Non-profit & Charity,Master's in Non-profit Management|Master's in Business,5,Non-profit Leadership|Fundraising|Strategic Planning|Budget Management|Communication|Vision,70-130K,non profit director,"['non-profit leadership', 'fundraising', 'strategic planning', 'budget management', 'communication', 'vision']"
Fundraiser,Non-profit & Charity,Bachelor's in Communications|Fundraising Certification,1,Fundraising|Relationship Building|Communication|Sales|Problem Solving|Event Planning,50-100K,fundraiser,"['fundraising', 'relationship building', 'communication', 'sales', 'problem solving', 'event planning']"
Environmental Scientist,Environmental,Bachelor's in Environmental Science|Master's in Environmental Science,1,Environmental Science|Research|Analysis|Problem Solving|Technical Knowledge|Sustainability,60-120K,environmental scientist,"['environmental science', 'research', 'analysis', 'problem solving', 'technical knowledge', 'sustainability']"
Sustainability Consultant,Environmental,Bachelor's in Environmental Science|MBA,2,Sustainability Strategy|Environmental Knowledge|Business Acumen|Communication|Problem Solving|Analysis,70-140K,sustainability consultant,"['sustainability strategy', 'environmental knowledge', 'business acumen', 'communication', 'problem solving', 'analysis']"
Content Creator,Media Production,High School|Digital Media Skills,0,Content Creation|Social Media|Video Production|Creativity|Communication|Technical Skills,30-80K,content creator,"['content creation', 'social media', 'video production', 'creativity', 'communication', 'technical skills']"
Social Media Content Creator,Media Production,High School|Social Media Certification,0,Social Media|Content Creation|Photography/Videography|Analytics|Creativity|Communication,35-85K,social media content creator,"['social media', 'content creation', 'photography/videography', 'analytics', 'creativity', 'communication']"
Videographer,Media Production,Associate in Videography|Certification,1,Video Shooting|Editing|Lighting|Storytelling|Technical Skills|Creativity,45-95K,videographer,"['video shooting', 'editing', 'lighting', 'storytelling', 'technical skills', 'creativity']"
Blockchain Developer,Technology,Bachelor's in Computer Science|Blockchain Certification,2,Solidity|Cryptocurrency|Smart Contracts|Blockchain Technology|Python|Problem Solving,100-200K,blockchain developer,"['solidity', 'cryptocurrency', 'smart contracts', 'blockchain technology', 'python', 'problem solving']"
AI/ML Specialist,Technology,Master's in AI|Master's in Machine Learning,2,Artificial Intelligence|Deep Learning|Python|TensorFlow|Research|Problem Solving,110-200K,ai ml specialist,"['artificial intelligence', 'deep learning', 'python', 'tensorflow', 'research', 'problem solving']"
IoT Engineer,Technology,Bachelor's in Electronics|Bachelor's in Computer Engineering,2,IoT Technology|Embedded Systems|Networking|C/C++|Sensors|System Design,85-150K,iot engineer,"['iot technology', 'embedded systems', 'networking', 'c/c++', 'sensors', 'system design']"
AR/VR Developer,Technology,Bachelor's in Computer Science|Specialized Training,2,Unity|Unreal Engine|C#|3D Graphics|AR/VR Platforms|Problem Solving,90-160K,ar vr developer,"['unity', 'unreal engine', 'c#', '3d graphics', 'ar/vr platforms', 'problem solving']"
DevSecOps Engineer,Technology,Bachelor's in Computer Science|Security Certification,3,DevOps|Security|CI/CD|Container Security|Compliance|Linux,110-180K,devsecops engineer,"['devops', 'security', 'ci/cd', 'container security', 'compliance', 'linux']"
Solution Architect,Technology,Master's in Computer Science|Architecture Certification,5,Solution Design|System Architecture|Technical Expertise|Communication|Business Acumen|Leadership,120-200K,solution architect,"['solution design', 'system architecture', 'technical expertise', 'communication', 'business acumen', 'leadership']"
Enterprise Architect,Technology,Master's in Computer Science|Enterprise Architecture Certification,7,Enterprise Architecture|Strategic Design|Leadership|Communication|Technical Expertise|Vision,140-240K,enterprise architect,"['enterprise architecture', 'strategic design', 'leadership', 'communication', 'technical expertise', 'vision']"
React Developer,Technology,Bachelor's in Computer Science|Bootcamp,1,JavaScript|React|CSS|HTML|Redux|API Integration,65-120K,react developer,"['javascript', 'react', 'css', 'html', 'redux', 'api integration']"
Vue Developer,Technology,Bachelor's in Computer Science,1,JavaScript|Vue.js|CSS|HTML|Vuex|API Integration,60-115K,vue developer,"['javascript', 'vue.js', 'css', 'html', 'vuex', 'api integration']"
Angular Developer,Technology,Bachelor's in Computer Science,2,JavaScript|Angular|TypeScript|CSS|RxJS|API Integration,70-130K,angular developer,"['javascript', 'angular', 'typescript', 'css', 'rxjs', 'api integration']"
PHP Developer,Technology,Bachelor's in Computer Science,1,PHP|Laravel|Symfony|MySQL|API Development|HTML/CSS,55-105K,php developer,"['php', 'laravel', 'symfony', 'mysql', 'api development', 'html/css']"
Python Developer,Technology,Bachelor's in Computer Science,1,Python|Django|Flask|SQL|REST API|Problem Solving,65-120K,python developer,"['python', 'django', 'flask', 'sql', 'rest api', 'problem solving']"
Ruby Developer,Technology,Bachelor's in Computer Science,1,Ruby|Ruby on Rails|SQL|HTML/CSS|API Development|Problem Solving,65-125K,ruby developer,"['ruby', 'ruby on rails', 'sql', 'html/css', 'api development', 'problem solving']"
Go Developer,Technology,Bachelor's in Computer Science,2,Go|Microservices|API Development|Concurrency|Docker|Problem Solving,80-140K,go developer,"['go', 'microservices', 'api development', 'concurrency', 'docker', 'problem solving']"
Rust Developer,Technology,Bachelor's in Computer Science,2,Rust|System Programming|Memory Safety|Cargo|Problem Solving|Performance Optimization,85-150K,rust developer,"['rust', 'system programming', 'memory safety', 'cargo', 'problem solving', 'performance optimization']"
Java Backend Developer,Technology,Bachelor's in Computer Science,2,Java|Spring Boot|SQL|REST API|Microservices|Maven,75-135K,java backend developer,"['java', 'spring boot', 'sql', 'rest api', 'microservices', 'maven']"
C++ Developer,Technology,Bachelor's in Computer Science,2,C++|System Programming|Memory Management|Problem Solving|Debugging|Performance,75-135K,c developer,"['c++', 'system programming', 'memory management', 'problem solving', 'debugging', 'performance']"
C# Developer,Technology,Bachelor's in Computer Science,1,C#|.NET Framework|SQL|Azure|API Development|LINQ,70-130K,c developer,"['c#', '.net framework', 'sql', 'azure', 'api development', 'linq']"
Scala Developer,Technology,Bachelor's in Computer Science,2,Scala|Functional Programming|Apache Spark|SQL|Problem Solving|Big Data,80-140K,scala developer,"['scala', 'functional programming', 'apache spark', 'sql', 'problem solving', 'big data']"
Perl Developer,Technology,Bachelor's in Computer Science,2,Perl|Text Processing|Scripting|Regular Expressions|Problem Solving|System Administration,70-125K,perl developer,"['perl', 'text processing', 'scripting', 'regular expressions', 'problem solving', 'system administration']"
Shell Script Developer,Technology,Bachelor's in Computer Science,1,Shell Scripting|Linux|Automation|Bash|System Administration|Problem Solving,60-110K,shell script developer,"['shell scripting', 'linux', 'automation', 'bash', 'system administration', 'problem solving']"
Elixir Developer,Technology,Bachelor's in Computer Science,2,Elixir|Phoenix Framework|Functional Programming|Erlang|Distributed Systems|Problem Solving,80-140K,elixir developer,"['elixir', 'phoenix framework', 'functional programming', 'erlang', 'distributed systems', 'problem solving']"
Clojure Developer,Technology,Bachelor's in Computer Science,2,Clojure|Functional Programming|Java Interop|LispyScript|Problem Solving|Concurrency,80-140K,clojure developer,"['clojure', 'functional programming', 'java interop', 'lispyscript', 'problem solving', 'concurrency']"
Haskell Developer,Technology,Bachelor's in Computer Science,2,Haskell|Functional Programming|Type System|Problem Solving|Concurrency|Lambda Calculus,80-140K,haskell developer,"['haskell', 'functional programming', 'type system', 'problem solving', 'concurrency', 'lambda calculus']"
TypeScript Developer,Technology,Bachelor's in Computer Science,1,TypeScript|JavaScript|Node.js|Type Safety|Object-Oriented Design|Problem Solving,70-130K,typescript developer,"['typescript', 'javascript', 'node.js', 'type safety', 'object-oriented design', 'problem solving']"
Kotlin Developer,Technology,Bachelor's in Computer Science,1,Kotlin|Android Development|Java Interop|Coroutines|Problem Solving|Mobile Development,70-130K,kotlin developer,"['kotlin', 'android development', 'java interop', 'coroutines', 'problem solving', 'mobile development']"
Swift Developer,Technology,Bachelor's in Computer Science,1,Swift|iOS Development|Xcode|UI/UX|Problem Solving|Mobile Development,75-135K,swift developer,"['swift', 'ios development', 'xcode', 'ui/ux', 'problem solving', 'mobile development']"
R Programmer,Data & Analytics,Bachelor's in Statistics|Bachelor's in Mathematics,1,R|Statistical Analysis|Data Visualization|tidyverse|ggplot2|Problem Solving,65-120K,r programmer,"['r', 'statistical analysis', 'data visualization', 'tidyverse', 'ggplot2', 'problem solving']"
MATLAB Developer,Technology,Bachelor's in Engineering|Bachelor's in Physics,1,MATLAB|Numerical Analysis|Signal Processing|Simulink|Problem Solving|Mathematics,70-130K,matlab developer,"['matlab', 'numerical analysis', 'signal processing', 'simulink', 'problem solving', 'mathematics']"
Jupyter Developer,Data & Analytics,Bachelor's in Computer Science|Data Science Certificate,1,Jupyter Notebooks|Python|Data Analysis|Visualization|Documentation|Collaboration,65-120K,jupyter developer,"['jupyter notebooks', 'python', 'data analysis', 'visualization', 'documentation', 'collaboration']"
Oracle DBA,Technology,Bachelor's in IT|Oracle Certification,3,Oracle Database|SQL|Database Administration|Performance Tuning|Backup Recovery|Security,80-145K,oracle dba,"['oracle database', 'sql', 'database administration', 'performance tuning', 'backup recovery', 'security']"
MongoDB Developer,Technology,Bachelor's in Computer Science,2,MongoDB|NoSQL|JSON|JavaScript|Aggregation|Indexing,75-135K,mongodb developer,"['mongodb', 'nosql', 'json', 'javascript', 'aggregation', 'indexing']"
Cassandra Developer,Technology,Bachelor's in Computer Science,2,Cassandra|NoSQL|Distributed Systems|CQL|Scalability|Performance,80-145K,cassandra developer,"['cassandra', 'nosql', 'distributed systems', 'cql', 'scalability', 'performance']"
Redis Developer,Technology,Bachelor's in Computer Science,2,Redis|Caching|Data Structures|Pub/Sub|Performance Optimization|Scalability,80-140K,redis developer,"['redis', 'caching', 'data structures', 'pub/sub', 'performance optimization', 'scalability']"
Elasticsearch Developer,Technology,Bachelor's in Computer Science,2,Elasticsearch|Search Technology|Analytics|Query DSL|Kibana|Performance,80-140K,elasticsearch developer,"['elasticsearch', 'search technology', 'analytics', 'query dsl', 'kibana', 'performance']"
Kafka Developer,Technology,Bachelor's in Computer Science,2,Apache Kafka|Streaming|Event Processing|Distributed Systems|Scalability|Problem Solving,85-150K,kafka developer,"['apache kafka', 'streaming', 'event processing', 'distributed systems', 'scalability', 'problem solving']"
Spark Developer,Data & Analytics,Bachelor's in Computer Science,2,Apache Spark|Big Data|Python|Scala|Distributed Computing|SQL,85-150K,spark developer,"['apache spark', 'big data', 'python', 'scala', 'distributed computing', 'sql']"
Hadoop Developer,Data & Analytics,Bachelor's in Computer Science,2,Hadoop|HDFS|MapReduce|Big Data|Java|Distributed Computing,85-150K,hadoop developer,"['hadoop', 'hdfs', 'mapreduce', 'big data', 'java', 'distributed computing']"
Data Warehouse Architect,Data & Analytics,Master's in IT|Data Warehouse Certification,5,Data Warehouse Design|ETL|SQL|Dimensional Modeling|Performance Tuning|Strategic Planning,110-180K,data warehouse architect,"['data warehouse design', 'etl', 'sql', 'dimensional modeling', 'performance tuning', 'strategic planning']"
ETL Developer,Data & Analytics,Bachelor's in IT,2,ETL Tools|SQL|Data Integration|Data Quality|Problem Solving|Performance,70-130K,etl developer,"['etl tools', 'sql', 'data integration', 'data quality', 'problem solving', 'performance']"
Talend Developer,Data & Analytics,Bachelor's in IT,2,Talend|ETL|Data Integration|Java|SQL|Data Quality,75-135K,talend developer,"['talend', 'etl', 'data integration', 'java', 'sql', 'data quality']"
Informatica Developer,Data & Analytics,Bachelor's in IT,2,Informatica|ETL|Data Integration|SQL|Data Quality|Performance Tuning,75-135K,informatica developer,"['informatica', 'etl', 'data integration', 'sql', 'data quality', 'performance tuning']"
SAS Programmer,Data & Analytics,Bachelor's in Statistics|SAS Certification,1,SAS|Statistical Analysis|Data Management|Visualization|SQL|Problem Solving,70-130K,sas programmer,"['sas', 'statistical analysis', 'data management', 'visualization', 'sql', 'problem solving']"
Power BI Developer,Data & Analytics,Bachelor's in IT,1,Power BI|Data Visualization|DAX|SQL|Excel|Dashboard Development,65-125K,power bi developer,"['power bi', 'data visualization', 'dax', 'sql', 'excel', 'dashboard development']"
Looker Developer,Data & Analytics,Bachelor's in IT,2,Looker|Data Visualization|LookML|SQL|Analytics|Dashboard Development,75-135K,looker developer,"['looker', 'data visualization', 'lookml', 'sql', 'analytics', 'dashboard development']"
Qlik Developer,Data & Analytics,Bachelor's in IT,2,Qlik Sense|Qlik View|Data Visualization|SQL|Analytics|Dashboard Development,75-135K,qlik developer,"['qlik sense', 'qlik view', 'data visualization', 'sql', 'analytics', 'dashboard development']"
